Page title is, Link : n1.1
Date,Time,"level_negative_depth>negative depth, Depth DS (Depth (ft))","level_depth>level_depth, Depth DS (Depth (ft))","level_elevation!>level_elevation, Depth DS (Depth (ft))","free outfall>free outfall, Depth DS (Depth (ft))"
01/01/2020,00:00:00,0.225000,0.225000,0.225000,0.225000
01/01/2020,00:05:00,0.225000,0.225000,0.225000,0.225000
01/01/2020,00:10:00,0.225646,0.225646,0.225646,0.225646
01/01/2020,00:15:00,0.235977,0.235977,0.235977,0.235977
01/01/2020,00:20:00,0.279866,0.279866,0.279866,0.279866
01/01/2020,00:25:00,0.337512,0.337512,0.337512,0.337512
01/01/2020,00:30:00,0.370884,0.370884,0.370884,0.370884
01/01/2020,00:35:00,0.394769,0.394769,0.394769,0.394769
01/01/2020,00:40:00,0.421935,0.421935,0.421935,0.421935
01/01/2020,00:45:00,0.453271,0.453271,0.453271,0.453271
01/01/2020,00:50:00,0.503056,0.503056,0.503056,0.503056
01/01/2020,00:55:00,0.545874,0.545874,0.545874,0.545874
01/01/2020,01:00:00,0.574037,0.574037,0.574037,0.574037
01/01/2020,01:05:00,0.591166,0.591166,0.591166,0.591166
01/01/2020,01:10:00,0.601779,0.601779,0.601779,0.601779
01/01/2020,01:15:00,0.609320,0.609320,0.609320,0.609320
01/01/2020,01:20:00,0.614844,0.614844,0.614844,0.614844
01/01/2020,01:25:00,0.618930,0.618930,0.618930,0.618930
01/01/2020,01:30:00,0.621960,0.621960,0.621960,0.621960
01/01/2020,01:35:00,0.624283,0.624283,0.624283,0.624283
01/01/2020,01:40:00,0.626208,0.626208,0.626208,0.626208
01/01/2020,01:45:00,0.627949,0.627949,0.627949,0.627949
01/01/2020,01:50:00,0.629361,0.629361,0.629361,0.629361
01/01/2020,01:55:00,0.630453,0.630453,0.630453,0.630453
01/01/2020,02:00:00,0.631389,0.631389,0.631389,0.631389
01/01/2020,02:05:00,0.632170,0.632170,0.632170,0.632170
01/01/2020,02:10:00,0.632824,0.632824,0.632824,0.632824
01/01/2020,02:15:00,0.633393,0.633393,0.633393,0.633393
01/01/2020,02:20:00,0.633898,0.633898,0.633898,0.633898
01/01/2020,02:25:00,0.634324,0.634324,0.634324,0.634324
01/01/2020,02:30:00,0.634703,0.634703,0.634703,0.634703
01/01/2020,02:35:00,0.635020,0.635020,0.635020,0.635020
01/01/2020,02:40:00,0.635318,0.635318,0.635318,0.635318
01/01/2020,02:45:00,0.635569,0.635569,0.635569,0.635569
01/01/2020,02:50:00,0.635778,0.635778,0.635778,0.635778
01/01/2020,02:55:00,0.635980,0.635980,0.635980,0.635980
01/01/2020,03:00:00,0.636168,0.636168,0.636168,0.636168
01/01/2020,03:05:00,0.636300,0.636300,0.636300,0.636300
01/01/2020,03:10:00,0.636424,0.636424,0.636424,0.636424
01/01/2020,03:15:00,0.636532,0.636532,0.636532,0.636532
01/01/2020,03:20:00,0.636581,0.636581,0.636581,0.636581
01/01/2020,03:25:00,0.636601,0.636601,0.636601,0.636601
01/01/2020,03:30:00,0.636602,0.636602,0.636602,0.636602
01/01/2020,03:35:00,0.636602,0.636602,0.636602,0.636602
01/01/2020,03:40:00,0.636602,0.636602,0.636602,0.636602
01/01/2020,03:45:00,0.636659,0.636659,0.636659,0.636659
01/01/2020,03:50:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,03:55:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:00:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:05:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:10:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:15:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:20:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:25:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:30:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:35:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:40:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:45:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:50:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,04:55:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:00:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:05:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:10:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:15:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:20:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:25:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:30:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:35:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:40:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:45:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:50:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,05:55:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,06:00:00,0.636663,0.636663,0.636663,0.636663
01/01/2020,06:05:00,0.637454,0.637454,0.637454,0.637454
01/01/2020,06:10:00,0.649331,0.649331,0.649331,0.649331
01/01/2020,06:15:00,0.673097,0.673097,0.673097,0.673097
01/01/2020,06:20:00,0.701657,0.701657,0.701657,0.701657
01/01/2020,06:25:00,0.736845,0.736845,0.736845,0.736845
01/01/2020,06:30:00,0.773910,0.773910,0.773910,0.773910
01/01/2020,06:35:00,0.806951,0.806951,0.806951,0.806951
01/01/2020,06:40:00,0.835053,0.835053,0.835053,0.835053
01/01/2020,06:45:00,0.857517,0.857517,0.857517,0.857517
01/01/2020,06:50:00,0.874954,0.874954,0.874954,0.874954
01/01/2020,06:55:00,0.887911,0.887911,0.887911,0.887911
01/01/2020,07:00:00,0.897920,0.897920,0.897920,0.897920
01/01/2020,07:05:00,0.905644,0.905644,0.905644,0.905644
01/01/2020,07:10:00,0.911575,0.911575,0.911575,0.911575
01/01/2020,07:15:00,0.916177,0.916177,0.916177,0.916177
01/01/2020,07:20:00,0.919627,0.919627,0.919627,0.919627
01/01/2020,07:25:00,0.922244,0.922244,0.922244,0.922244
01/01/2020,07:30:00,0.924309,0.924309,0.924309,0.924309
01/01/2020,07:35:00,0.926112,0.926112,0.926112,0.926112
01/01/2020,07:40:00,0.927573,0.927573,0.927573,0.927573
01/01/2020,07:45:00,0.928756,0.928756,0.928756,0.928756
01/01/2020,07:50:00,0.929719,0.929719,0.929719,0.929719
01/01/2020,07:55:00,0.930561,0.930561,0.930561,0.930561
01/01/2020,08:00:00,0.931293,0.931293,0.931293,0.931293
01/01/2020,08:05:00,0.931908,0.931908,0.931908,0.931908
01/01/2020,08:10:00,0.932442,0.932442,0.932442,0.932442
01/01/2020,08:15:00,0.932909,0.932909,0.932909,0.932909
01/01/2020,08:20:00,0.933304,0.933304,0.933304,0.933304
01/01/2020,08:25:00,0.933639,0.933639,0.933639,0.933639
01/01/2020,08:30:00,0.933952,0.933952,0.933952,0.933952
01/01/2020,08:35:00,0.934216,0.934216,0.934216,0.934216
01/01/2020,08:40:00,0.934476,0.934476,0.934476,0.934476
01/01/2020,08:45:00,0.934661,0.934661,0.934661,0.934661
01/01/2020,08:50:00,0.934856,0.934856,0.934856,0.934856
01/01/2020,08:55:00,0.935009,0.935009,0.935009,0.935009
01/01/2020,09:00:00,0.935161,0.935161,0.935161,0.935161
01/01/2020,09:05:00,0.936798,0.936798,0.936798,0.936798
01/01/2020,09:10:00,0.954714,0.954714,0.954714,0.954714
01/01/2020,09:15:00,0.989780,0.989780,0.989780,0.989780
01/01/2020,09:20:00,1.040279,1.040279,1.040279,1.040279
01/01/2020,09:25:00,1.097388,1.097388,1.097388,1.097388
01/01/2020,09:30:00,1.150055,1.150055,1.150055,1.150055
01/01/2020,09:35:00,1.193766,1.193766,1.193766,1.193766
01/01/2020,09:40:00,1.228043,1.228043,1.228043,1.228043
01/01/2020,09:45:00,1.254338,1.254338,1.254338,1.254338
01/01/2020,09:50:00,1.273733,1.273733,1.273733,1.273733
01/01/2020,09:55:00,1.289009,1.289009,1.289009,1.289009
01/01/2020,10:00:00,1.300807,1.300807,1.300807,1.300807
01/01/2020,10:05:00,1.309728,1.309728,1.309728,1.309728
01/01/2020,10:10:00,1.316534,1.316534,1.316534,1.316534
01/01/2020,10:15:00,1.321785,1.321785,1.321785,1.321785
01/01/2020,10:20:00,1.325840,1.325840,1.325840,1.325840
01/01/2020,10:25:00,1.328987,1.328987,1.328987,1.328987
01/01/2020,10:30:00,1.331546,1.331546,1.331546,1.331546
01/01/2020,10:35:00,1.334659,1.334659,1.334659,1.334659
01/01/2020,10:40:00,1.344419,1.344419,1.344419,1.344419
01/01/2020,10:45:00,1.361073,1.361073,1.361073,1.361073
01/01/2020,10:50:00,1.384391,1.384391,1.384391,1.384391
01/01/2020,10:55:00,1.408565,1.408565,1.408565,1.408565
01/01/2020,11:00:00,1.429354,1.429354,1.429354,1.429354
01/01/2020,11:05:00,1.450036,1.450036,1.450036,1.450036
01/01/2020,11:10:00,1.488821,1.488821,1.488821,1.488821
01/01/2020,11:15:00,1.546551,1.546551,1.546551,1.546551
01/01/2020,11:20:00,1.615250,1.615250,1.615250,1.615250
01/01/2020,11:25:00,1.681236,1.681236,1.681236,1.681236
01/01/2020,11:30:00,1.733780,1.733780,1.733780,1.733780
01/01/2020,11:35:00,1.780433,1.780433,1.780433,1.780433
01/01/2020,11:40:00,1.850161,1.850161,1.850161,1.850161
01/01/2020,11:45:00,1.955874,1.955874,1.955874,1.955874
01/01/2020,11:50:00,2.070186,2.070186,2.070186,2.070186
01/01/2020,11:55:00,2.210079,2.210079,2.210079,2.210079
01/01/2020,12:00:00,2.584188,2.584188,2.584188,2.584188
01/01/2020,12:05:00,3.014054,3.014054,3.014054,3.014054
01/01/2020,12:10:00,3.042225,3.042225,3.042225,3.042225
01/01/2020,12:15:00,2.943722,2.943722,2.943722,2.943722
01/01/2020,12:20:00,2.850852,2.850852,2.850852,2.850852
01/01/2020,12:25:00,2.762218,2.762218,2.762218,2.762218
01/01/2020,12:30:00,2.693099,2.693099,2.693099,2.693099
01/01/2020,12:35:00,2.638725,2.638725,2.638725,2.638725
01/01/2020,12:40:00,2.589537,2.589537,2.589537,2.589537
01/01/2020,12:45:00,2.552650,2.552650,2.552650,2.552650
01/01/2020,12:50:00,2.522575,2.522575,2.522575,2.522575
01/01/2020,12:55:00,2.491992,2.491992,2.491992,2.491992
01/01/2020,13:00:00,2.430326,2.430326,2.430326,2.430326
01/01/2020,13:05:00,2.397909,2.397909,2.397909,2.397909
01/01/2020,13:10:00,2.363138,2.363138,2.363138,2.363138
01/01/2020,13:15:00,2.328047,2.328047,2.328047,2.328047
01/01/2020,13:20:00,2.301279,2.301279,2.301279,2.301279
01/01/2020,13:25:00,2.283369,2.283369,2.283369,2.283369
01/01/2020,13:30:00,2.272405,2.272405,2.272405,2.272405
01/01/2020,13:35:00,2.264370,2.264370,2.264370,2.264370
01/01/2020,13:40:00,2.242341,2.242341,2.242341,2.242341
01/01/2020,13:45:00,2.228054,2.228054,2.228054,2.228054
01/01/2020,13:50:00,2.225182,2.225182,2.225182,2.225182
01/01/2020,13:55:00,2.234559,2.236134,2.235091,2.214976
01/01/2020,14:00:00,2.269619,2.271199,2.270159,2.201134
01/01/2020,14:05:00,2.294697,2.296277,2.295237,2.194109
01/01/2020,14:10:00,2.319766,2.321345,2.320305,2.183394
01/01/2020,14:15:00,2.349816,2.351395,2.350342,2.134555
01/01/2020,14:20:00,2.379881,2.381459,2.380394,2.126378
01/01/2020,14:25:00,2.409943,2.411521,2.410459,2.122950
01/01/2020,14:30:00,2.439999,2.441577,2.440519,2.118817
01/01/2020,14:35:00,2.465048,2.466626,2.465567,2.119283
01/01/2020,14:40:00,2.490087,2.491664,2.490606,2.115354
01/01/2020,14:45:00,2.515110,2.516688,2.515630,2.100741
01/01/2020,14:50:00,2.540113,2.541690,2.540632,2.071496
01/01/2020,14:55:00,2.560119,2.561696,2.560635,2.053028
01/01/2020,15:00:00,2.580126,2.581703,2.580639,2.037064
01/01/2020,15:05:00,2.595095,2.596671,2.595617,2.000481
01/01/2020,15:10:00,2.610033,2.611609,2.610565,1.933950
01/01/2020,15:15:00,2.624901,2.626476,2.625426,1.803599
01/01/2020,15:20:00,2.639803,2.641379,2.640322,1.670737
01/01/2020,15:25:00,2.654720,2.656295,2.655248,1.548439
01/01/2020,15:30:00,2.669661,2.671236,2.670199,1.430689
01/01/2020,15:35:00,2.674634,2.676209,2.675159,1.367078
01/01/2020,15:40:00,2.679619,2.681194,2.680130,1.327044
01/01/2020,15:45:00,2.694608,2.696183,2.695130,1.295619
01/01/2020,15:50:00,2.709603,2.711177,2.710134,1.274909
01/01/2020,15:55:00,2.719599,2.721174,2.720121,1.260530
01/01/2020,16:00:00,2.729595,2.731170,2.730107,1.247218
01/01/2020,16:05:00,2.744573,2.746148,2.745095,1.190478
01/01/2020,16:10:00,2.759547,2.761122,2.760078,1.099522
01/01/2020,16:15:00,2.769533,2.771108,2.770054,1.032872
01/01/2020,16:20:00,2.779526,2.781101,2.780038,0.992921
01/01/2020,16:25:00,2.794521,2.796096,2.795042,0.964184
01/01/2020,16:30:00,2.809519,2.811094,2.810050,0.948746
01/01/2020,16:35:00,2.814520,2.816095,2.815055,0.949001
01/01/2020,16:40:00,2.819519,2.821094,2.820057,0.945619
01/01/2020,16:45:00,2.834517,2.836092,2.835048,0.932800
01/01/2020,16:50:00,2.849517,2.851092,2.850042,0.927836
01/01/2020,16:55:00,2.854519,2.856094,2.855047,0.935292
01/01/2020,17:00:00,2.859519,2.861094,2.860051,0.936420
01/01/2020,17:05:00,2.859520,2.861095,2.860052,0.939778
01/01/2020,17:10:00,2.859520,2.861095,2.860051,0.940021
01/01/2020,17:15:00,2.864519,2.866094,2.865053,0.934646
01/01/2020,17:20:00,2.869519,2.871094,2.870057,0.932803
01/01/2020,17:25:00,2.869520,2.871095,2.870058,0.936973
01/01/2020,17:30:00,2.869520,2.871095,2.870058,0.937770
01/01/2020,17:35:00,2.869520,2.871095,2.870058,0.937247
01/01/2020,17:40:00,2.869520,2.871095,2.870058,0.936933
01/01/2020,17:45:00,2.864521,2.866096,2.865055,0.941307
01/01/2020,17:50:00,2.859521,2.861095,2.860052,0.942392
01/01/2020,17:55:00,2.849521,2.851096,2.850046,0.946719
01/01/2020,18:00:00,2.839521,2.841096,2.840039,0.947649
01/01/2020,18:05:00,2.834519,2.836094,2.835034,0.940723
01/01/2020,18:10:00,2.829514,2.831089,2.830026,0.919538
01/01/2020,18:15:00,2.819510,2.821085,2.820032,0.894500
01/01/2020,18:20:00,2.809504,2.811079,2.810036,0.858832
01/01/2020,18:25:00,2.799500,2.801075,2.800025,0.823271
01/01/2020,18:30:00,2.789496,2.791071,2.790014,0.791141
01/01/2020,18:35:00,2.779493,2.781068,2.780021,0.764867
01/01/2020,18:40:00,2.769491,2.771066,2.770029,0.741283
01/01/2020,18:45:00,2.759489,2.761064,2.760021,0.723220
01/01/2020,18:50:00,2.749488,2.751063,2.750013,0.709541
01/01/2020,18:55:00,2.734488,2.736063,2.735020,0.705427
01/01/2020,19:00:00,2.719487,2.721062,2.720025,0.699744
01/01/2020,19:05:00,2.709486,2.711061,2.710017,0.685868
01/01/2020,19:10:00,2.699486,2.701060,2.700010,0.678649
01/01/2020,19:15:00,2.684486,2.686061,2.685017,0.681696
01/01/2020,19:20:00,2.669485,2.671060,2.670024,0.680766
01/01/2020,19:25:00,2.659485,2.661059,2.660016,0.671029
01/01/2020,19:30:00,2.649484,2.651059,2.650009,0.666418
01/01/2020,19:35:00,2.639484,2.641059,2.640002,0.665128
01/01/2020,19:40:00,2.629484,2.631059,2.629996,0.663942
01/01/2020,19:45:00,2.614484,2.616059,2.615002,0.669071
01/01/2020,19:50:00,2.599484,2.601059,2.600009,0.670143
01/01/2020,19:55:00,2.584483,2.586058,2.585015,0.668560
01/01/2020,20:00:00,2.569483,2.571058,2.570021,0.667358
01/01/2020,20:05:00,2.554483,2.556058,2.555011,0.666544
01/01/2020,20:10:00,2.539483,2.541057,2.540001,0.665865
01/01/2020,20:15:00,2.519483,2.521057,2.520004,0.671464
01/01/2020,20:20:00,2.499482,2.501057,2.500007,0.672756
01/01/2020,20:25:00,2.484482,2.486056,2.485013,0.665327
01/01/2020,20:30:00,2.469481,2.471056,2.470019,0.662630
01/01/2020,20:35:00,2.449481,2.451056,2.450006,0.668773
01/01/2020,20:40:00,2.429481,2.431056,2.429993,0.670127
01/01/2020,20:45:00,2.419480,2.421055,2.420002,0.656300
01/01/2020,20:50:00,2.409480,2.411055,2.410011,0.652405
01/01/2020,20:55:00,2.394480,2.396055,2.395001,0.659454
01/01/2020,21:00:00,2.379479,2.381054,2.379991,0.660949
01/01/2020,21:05:00,2.364479,2.366054,2.364997,0.659848
01/01/2020,21:10:00,2.349479,2.351053,2.350003,0.659533
01/01/2020,21:15:00,2.339478,2.341053,2.339996,0.653467
01/01/2020,21:20:00,2.329478,2.331053,2.329990,0.651360
01/01/2020,21:25:00,2.319478,2.321052,2.319999,0.651934
01/01/2020,21:30:00,2.309477,2.311052,2.310009,0.651807
01/01/2020,21:35:00,2.294477,2.296052,2.294999,0.657392
01/01/2020,21:40:00,2.279477,2.281052,2.279989,0.659085
01/01/2020,21:45:00,2.269476,2.271051,2.269998,0.652526
01/01/2020,21:50:00,2.259476,2.261051,2.260007,0.650630
01/01/2020,21:55:00,2.249476,2.251051,2.250001,0.651323
01/01/2020,22:00:00,2.239476,2.241051,2.239994,0.651036
01/01/2020,22:05:00,2.229476,2.231051,2.230004,0.650885
01/01/2020,22:10:00,2.219476,2.221051,2.220014,0.650822
01/01/2020,22:15:00,2.209476,2.211051,2.210007,0.650717
01/01/2020,22:20:00,2.199476,2.201051,2.200001,0.650638
01/01/2020,22:25:00,2.189476,2.191051,2.189994,0.650530
01/01/2020,22:30:00,2.179476,2.181051,2.179988,0.650437
01/01/2020,22:35:00,2.169476,2.171051,2.169997,0.650345
01/01/2020,22:40:00,2.159476,2.161051,2.160007,0.650195
01/01/2020,22:45:00,2.154476,2.156051,2.155004,0.644773
01/01/2020,22:50:00,2.149476,2.151051,2.150001,0.642846
01/01/2020,22:55:00,2.144476,2.146051,2.144998,0.643566
01/01/2020,23:00:00,2.139476,2.141051,2.139994,0.643404
01/01/2020,23:05:00,2.134476,2.136051,2.134991,0.643309
01/01/2020,23:10:00,2.129476,2.131051,2.129988,0.643304
01/01/2020,23:15:00,2.124476,2.126051,2.125001,0.643304
01/01/2020,23:20:00,2.119476,2.121051,2.120014,0.643249
01/01/2020,23:25:00,2.114476,2.116051,2.115011,0.643243
01/01/2020,23:30:00,2.109476,2.111051,2.110007,0.643228
01/01/2020,23:35:00,2.104476,2.106051,2.105004,0.643182
01/01/2020,23:40:00,2.099476,2.101051,2.100001,0.643108
01/01/2020,23:45:00,2.099476,2.101051,2.100001,0.637904
01/01/2020,23:50:00,2.099476,2.101051,2.100001,0.636135
01/01/2020,23:55:00,2.094476,2.096051,2.094997,0.642091
01/02/2020,00:00:00,2.089476,2.091051,2.089994,0.643648
